bus_id,name,vn_kv,type,zone,in_service,max_vm_pu,min_vm_pu,geo,voltage_level_kv
21,21,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-3.8983569783, 3.4777073063], ""type"": ""Point""}",400.0
22,22,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-12.8282688893, 5.8707210488], ""type"": ""Point""}",400.0
23,23,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-13.3818475408, 6.0104533613], ""type"": ""Point""}",400.0
24,24,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-13.4356432629, 5.7889837424], ""type"": ""Point""}",400.0
25,25,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-11.8031565067, 6.6049592729], ""type"": ""Point""}",400.0
26,26,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-12.2449477673, 6.5736713635], ""type"": ""Point""}",400.0
27,27,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-12.5387082735, 7.0821914136], ""type"": ""Point""}",400.0
28,28,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-3.8576148338, 1.1028612157], ""type"": ""Point""}",400.0
29,29,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-3.9127480696, -0.5658538603], ""type"": ""Point""}",400.0
30,30,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-3.125101606, -0.14085405], ""type"": ""Point""}",400.0
31,31,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-4.3474765866, -0.4120048364], ""type"": ""Point""}",400.0
32,32,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-3.4653512972, -0.3351140393], ""type"": ""Point""}",400.0
33,33,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-2.9397762174, 0.2859116407], ""type"": ""Point""}",400.0
34,34,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-4.3716135929, -0.0524631503], ""type"": ""Point""}",400.0
35,35,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-5.4678364032, 11.5974762336], ""type"": ""Point""}",400.0
36,36,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-5.5079561377, 12.1591942009], ""type"": ""Point""}",400.0
37,37,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-5.4019069137, 12.3943673616], ""type"": ""Point""}",400.0
38,38,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-5.5538778446, 11.9547205755], ""type"": ""Point""}",400.0
39,39,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-4.5068656404, 11.3383040544], ""type"": ""Point""}",400.0
40,40,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-4.1364416547, 11.9037235606], ""type"": ""Point""}",400.0
41,41,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-4.1148854107, 11.7243817813], ""type"": ""Point""}",400.0
42,42,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-4.067081529, 12.0620475653], ""type"": ""Point""}",400.0
43,43,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-19.0966813299, 6.4080554788], ""type"": ""Point""}",400.0
44,44,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-20.2407571233, 6.2139426398], ""type"": ""Point""}",400.0
45,45,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-20.2372090801, 5.9823996814], ""type"": ""Point""}",400.0
46,46,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-4.0267431344, 10.2580807504], ""type"": ""Point""}",400.0
47,47,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-3.6468463363, 10.5737994401], ""type"": ""Point""}",400.0
48,48,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-3.4576059364, 10.7971571175], ""type"": ""Point""}",400.0
49,49,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-5.1393612719, 11.8072554921], ""type"": ""Point""}",400.0
50,50,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-4.8605639578, 13.1275161314], ""type"": ""Point""}",400.0
51,51,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-4.8670767759, 13.3554789253], ""type"": ""Point""}",400.0
52,52,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-16.096701517, 3.3274091592], ""type"": ""Point""}",400.0
53,53,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-16.9582310358, 3.273859903], ""type"": ""Point""}",400.0
54,54,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-16.7655042049, 2.9413012164], ""type"": ""Point""}",400.0
55,55,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-1.859710976, 12.0189714507], ""type"": ""Point""}",275.0
56,56,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-1.9086183824, 13.7229963166], ""type"": ""Point""}",275.0
57,57,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-2.7967694018, 10.3822456354], ""type"": ""Point""}",275.0
58,58,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-2.4118640268, 11.503522323], ""type"": ""Point""}",275.0
59,59,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-3.2963026638, 9.895667317], ""type"": ""Point""}",275.0
60,60,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-2.8881978481, 10.977842077], ""type"": ""Point""}",275.0
61,61,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-1.7234949458, 13.5420985403], ""type"": ""Point""}",275.0
62,62,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-5.2995332257, -1.5954944181], ""type"": ""Point""}",275.0
63,63,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-4.9534760655, -3.0414362471], ""type"": ""Point""}",275.0
64,64,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-5.2174091999, -3.0265078203], ""type"": ""Point""}",275.0
65,65,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-1.2597312301, -0.0188245983], ""type"": ""Point""}",275.0
66,66,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-1.119440885, -1.7714913858], ""type"": ""Point""}",275.0
67,67,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-1.2448713281, 0.1816186227], ""type"": ""Point""}",275.0
68,68,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-0.9116288786, -1.5647900441], ""type"": ""Point""}",275.0
69,69,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-0.3104501496, 1.2046456343], ""type"": ""Point""}",275.0
70,70,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [0.2097801181, -0.2603245554], ""type"": ""Point""}",275.0
71,71,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-0.2397395764, 0.9844950264], ""type"": ""Point""}",275.0
72,72,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [0.3364678494, -0.2649499742], ""type"": ""Point""}",275.0
73,73,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-18.7885197192, 11.1200139052], ""type"": ""Point""}",400.0
74,74,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-19.6360727413, 11.6569612087], ""type"": ""Point""}",400.0
75,75,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-19.5539950402, 11.3935392463], ""type"": ""Point""}",400.0
76,76,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-19.711527205, 11.2650708268], ""type"": ""Point""}",400.0
77,77,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-19.4982872461, 11.8332629037], ""type"": ""Point""}",400.0
78,78,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-0.8077048149, 15.2799634872], ""type"": ""Point""}",275.0
79,79,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-0.5855591197, 16.8294489269], ""type"": ""Point""}",275.0
80,80,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-0.7476742514, 16.8361959508], ""type"": ""Point""}",275.0
81,81,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-0.099407358, 7.1139604975], ""type"": ""Point""}",400.0
82,82,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [0.3326214135, 6.7591911924], ""type"": ""Point""}",400.0
83,83,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [0.3525823379, 6.5236250211], ""type"": ""Point""}",400.0
84,84,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [0.3981567228, 6.1608735608], ""type"": ""Point""}",400.0
85,85,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [0.3315696095, 5.9762030283], ""type"": ""Point""}",400.0
86,86,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-12.3900028728, 3.5186636168], ""type"": ""Point""}",400.0
87,87,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-12.7780625921, 3.5659270149], ""type"": ""Point""}",400.0
88,88,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-12.9080948339, 3.6783646547], ""type"": ""Point""}",400.0
89,89,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-8.4847879663, 5.1276243184], ""type"": ""Point""}",400.0
90,90,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-8.6359495821, 4.3039639792], ""type"": ""Point""}",400.0
91,91,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-8.6751920017, 4.5229718369], ""type"": ""Point""}",400.0
92,92,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-8.4309325953, 12.5023546965], ""type"": ""Point""}",400.0
93,93,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-8.6996750711, 13.9795046829], ""type"": ""Point""}",400.0
94,94,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-7.1853062635, 14.5088241952], ""type"": ""Point""}",400.0
95,95,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-7.0095607567, 16.4082034542], ""type"": ""Point""}",400.0
96,96,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-7.2597550657, 16.436040108], ""type"": ""Point""}",400.0
97,97,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-7.7367177794, 12.8844411182], ""type"": ""Point""}",400.0
98,98,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-7.4270125536, 13.3596452196], ""type"": ""Point""}",400.0
99,99,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-7.9402152986, 13.2296352619], ""type"": ""Point""}",400.0
100,100,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-7.6930560155, 13.8533167778], ""type"": ""Point""}",400.0
101,101,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-7.5059647399, 13.6365476244], ""type"": ""Point""}",400.0
102,102,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-8.0795981391, 13.5411999687], ""type"": ""Point""}",400.0
103,103,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-7.9229078065, 13.9748064539], ""type"": ""Point""}",400.0
104,104,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-8.0766994848, 13.812900552], ""type"": ""Point""}",400.0
105,105,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-7.5293331184, 12.6236616854], ""type"": ""Point""}",400.0
106,106,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-7.7907507456, 13.479620224], ""type"": ""Point""}",400.0
107,107,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-7.4386874267, 13.0759372511], ""type"": ""Point""}",400.0
108,108,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-18.6324623246, 12.0960556408], ""type"": ""Point""}",400.0
109,109,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-19.4939748294, 12.865428585], ""type"": ""Point""}",400.0
110,110,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-19.6153373896, 12.6308791344], ""type"": ""Point""}",400.0
111,111,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-17.6687333951, 12.6971621802], ""type"": ""Point""}",400.0
112,112,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-18.0072300227, 13.5166413042], ""type"": ""Point""}",400.0
113,113,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-18.126751525, 13.2711774982], ""type"": ""Point""}",400.0
114,114,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-10.5767322246, 12.0296165621], ""type"": ""Point""}",400.0
115,115,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-11.2282012147, 13.5391247484], ""type"": ""Point""}",400.0
116,116,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-10.9783449147, 13.7379834579], ""type"": ""Point""}",400.0
117,117,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-10.8562794756, 13.3954507212], ""type"": ""Point""}",400.0
118,118,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-21.3346703238, 10.8633650453], ""type"": ""Point""}",400.0
119,119,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-22.410371125, 10.8664519457], ""type"": ""Point""}",400.0
120,120,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-22.375425023, 11.2911198192], ""type"": ""Point""}",400.0
121,121,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-22.6118249684, 10.363520011], ""type"": ""Point""}",400.0
122,122,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-19.9440674598, 11.9146072295], ""type"": ""Point""}",400.0
123,123,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-20.9046709608, 12.821431439], ""type"": ""Point""}",400.0
124,124,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-21.065769209, 12.5434917401], ""type"": ""Point""}",400.0
125,125,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-21.1830343527, 12.2430535563], ""type"": ""Point""}",400.0
126,126,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-8.1853135767, 8.3655466626], ""type"": ""Point""}",400.0
127,127,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-8.1402731421, 8.6956694498], ""type"": ""Point""}",400.0
128,128,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-7.9367788933, 8.7445697592], ""type"": ""Point""}",400.0
129,129,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-7.4488854721, 7.6042027161], ""type"": ""Point""}",400.0
130,130,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-6.9580475774, 7.9453732842], ""type"": ""Point""}",400.0
131,131,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-7.0156313582, 7.7551209542], ""type"": ""Point""}",400.0
132,132,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-7.3273881412, 5.5162693691], ""type"": ""Point""}",400.0
133,133,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-6.9235355223, 4.5772936185], ""type"": ""Point""}",400.0
134,134,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-6.9752466554, 4.9933053185], ""type"": ""Point""}",400.0
135,135,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-13.1716831377, 11.3355258215], ""type"": ""Point""}",400.0
136,136,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-13.7038555741, 12.0756527619], ""type"": ""Point""}",400.0
137,137,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-13.973067131, 10.9623779433], ""type"": ""Point""}",400.0
138,138,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-13.7842419834, 11.8246777264], ""type"": ""Point""}",400.0
139,139,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-13.5852684834, 12.2616914832], ""type"": ""Point""}",400.0
140,140,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-12.0221545954, 11.4876454529], ""type"": ""Point""}",400.0
141,141,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-12.5733223463, 11.6294495444], ""type"": ""Point""}",400.0
142,142,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-12.5512188934, 11.870402361], ""type"": ""Point""}",400.0
143,143,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-2.9588468661, 16.3013536151], ""type"": ""Point""}",275.0
144,144,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-2.3416056985, 17.65554058], ""type"": ""Point""}",275.0
145,145,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-3.3239334592, 17.8327160546], ""type"": ""Point""}",275.0
146,146,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-2.6163484154, 17.5945257706], ""type"": ""Point""}",275.0
147,147,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-2.8156613668, 17.9962887148], ""type"": ""Point""}",275.0
148,148,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-2.8711131268, 16.16305139], ""type"": ""Point""}",275.0
149,149,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-2.8356066401, 17.4114267653], ""type"": ""Point""}",275.0
150,150,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-3.0850142446, 17.9138517112], ""type"": ""Point""}",275.0
151,151,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-2.3702218026, 17.475261459], ""type"": ""Point""}",275.0
152,152,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-3.2514674716, 17.5611133656], ""type"": ""Point""}",275.0
153,153,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-3.0869116457, 17.3991986708], ""type"": ""Point""}",275.0
154,154,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-2.6148988415, 17.8238096662], ""type"": ""Point""}",275.0
155,155,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-3.0193623736, 17.7397314421], ""type"": ""Point""}",275.0
156,156,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-15.990306076, 12.1869535731], ""type"": ""Point""}",275.0
157,157,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-16.5207983329, 13.3988249748], ""type"": ""Point""}",275.0
158,158,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-16.6748085005, 13.1841582696], ""type"": ""Point""}",275.0
159,159,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-16.5328837364, 10.7486532857], ""type"": ""Point""}",275.0
160,160,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-17.4002085433, 10.8355798039], ""type"": ""Point""}",275.0
161,161,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-17.3178630418, 11.3676596288], ""type"": ""Point""}",275.0
162,162,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-9.4184499537, 11.7197899052], ""type"": ""Point""}",400.0
163,163,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-9.2876394587, 11.3469698577], ""type"": ""Point""}",400.0
164,164,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-9.2378420818, 11.7675447098], ""type"": ""Point""}",400.0
165,165,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-9.5130069104, 11.4690488918], ""type"": ""Point""}",400.0
166,166,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-9.2245811142, 11.5370116066], ""type"": ""Point""}",400.0
167,167,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-4.2430816425, 1.0342929555], ""type"": ""Point""}",400.0
168,168,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-4.643939521, -0.4498517768], ""type"": ""Point""}",400.0
169,169,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-3.3652105504, 0.0216027024], ""type"": ""Point""}",400.0
170,170,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-3.6363382932, -0.5148283957], ""type"": ""Point""}",400.0
171,171,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-4.0365755076, -0.1945849252], ""type"": ""Point""}",400.0
172,172,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-4.2364759075, 3.6593358953], ""type"": ""Point""}",400.0
173,173,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-3.4348385922, 3.4444760443], ""type"": ""Point""}",400.0
174,174,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-3.7233381392, 3.6970485284], ""type"": ""Point""}",400.0
175,175,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-3.7153152787, 3.3343689272], ""type"": ""Point""}",400.0
176,176,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-4.039740675, 3.2347751315], ""type"": ""Point""}",400.0
177,177,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-12.2817768219, 6.8189594524], ""type"": ""Point""}",400.0
178,178,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-12.3476057372, 7.1232907432], ""type"": ""Point""}",400.0
179,179,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-12.4952324927, 6.8297103357], ""type"": ""Point""}",400.0
180,180,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-13.1666532391, -0.6648950509], ""type"": ""Point""}",400.0
181,181,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-12.9814247108, -1.4502830524], ""type"": ""Point""}",400.0
182,182,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-7.8754468536, 14.5123634669], ""type"": ""Point""}",400.0
183,183,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-7.5938490244, 15.9313406688], ""type"": ""Point""}",400.0
184,184,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-8.0571746723, 15.4832097676], ""type"": ""Point""}",400.0
185,185,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-7.8696342163, 16.0689984892], ""type"": ""Point""}",400.0
186,186,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-7.5455795713, 15.6426979682], ""type"": ""Point""}",400.0
187,187,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-13.6602992284, 5.9509302122], ""type"": ""Point""}",400.0
188,188,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-13.4873546359, 6.2388772755], ""type"": ""Point""}",400.0
189,189,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-13.6882017143, 6.1960588649], ""type"": ""Point""}",400.0
190,190,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-7.8229749215, 15.663135706], ""type"": ""Point""}",400.0
191,191,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-8.1051970031, 15.9046582968], ""type"": ""Point""}",400.0
192,192,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-8.2803091935, 15.6215911494], ""type"": ""Point""}",400.0
193,193,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-3.7396382114, -0.8160239104], ""type"": ""Point""}",400.0
194,194,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-3.7163453525, -2.2919171582], ""type"": ""Point""}",400.0
195,195,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-3.9804464718, -2.2388808132], ""type"": ""Point""}",400.0
196,196,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-3.4364939353, -2.2864550619], ""type"": ""Point""}",400.0
197,197,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-10.1564463315, 13.207274229], ""type"": ""Point""}",400.0
198,198,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-9.9946318565, 14.3635992187], ""type"": ""Point""}",400.0
199,199,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-10.7584912901, 14.2207220835], ""type"": ""Point""}",400.0
200,200,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-10.3184040907, 14.3598607165], ""type"": ""Point""}",400.0
201,201,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-11.7553703222, 3.9693782462], ""type"": ""Point""}",400.0
202,202,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-11.7022082418, 3.4437360294], ""type"": ""Point""}",400.0
203,203,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-12.3421286359, 4.0292197584], ""type"": ""Point""}",400.0
204,204,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-12.1760427088, 3.8678819834], ""type"": ""Point""}",400.0
205,205,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-11.371555143, 3.4199069866], ""type"": ""Point""}",400.0
206,206,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-9.0759730609, -0.7787683394], ""type"": ""Point""}",275.0
207,207,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-8.5197448515, -2.1258744628], ""type"": ""Point""}",275.0
208,208,275.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-8.7603599892, -2.0903243163], ""type"": ""Point""}",275.0
209,209,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-9.7561093303, 12.0975218057], ""type"": ""Point""}",400.0
210,210,400.0,b,1.0,True,1.06,0.94,"{""coordinates"": [-9.7727536417, 12.5786327462], ""type"": ""Point""}",400.0
